,2020_01,2020_02,2020_03,2020_04
gender,5.807373599964194e-05,7.527773414039984e-05,7.262103463290259e-05,0.0001260034623555839
social,1.012277789413929e-05,1.0146596650884021e-05,9.09211939870147e-06,9.554983989801258e-06
politic,8.600086971455312e-07,3.441246690272237e-06,5.85729196700413e-07,1.0290342515872908e-06
age,1.9439411858002131e-07,7.242388733175176e-07,5.679822265847179e-07,1.0104868124471977e-06
region,9.393165356641475e-09,4.082501003921379e-09,1.0273134343208312e-08,2.5748878584863633e-09
